id,name,date,lat,lon,elev
355180,Antofagasta Volcanic Field,Unknown,-26.12,-67.4,3495
355190,Condor El,Unknown,-26.632,-68.361,6373
355200,Peinado,Unknown,-26.623,-68.116,5741
355210,Blanco Cerro,2300 BCE,-26.7657,-67.746,4670
355220,Tipas,Unknown,-27.196,-68.561,6658
356011,Rapa Nui,Unknown,-27.114,-109.356,501
357010,Tupungatito,1987 CE,-33.425,-69.797,5660
357020,San Jose,1960 CE,-33.789,-69.895,6070
357021,Maipo,1912 CE,-34.164,-69.832,5323
357022,Palomo,Unknown,-34.608,-70.295,4860
357023,Atuel Caldera del,Unknown,-34.592,-69.921,5189
357024,Risco Plateado,Unknown,-34.917,-69.981,4999
357030,Tinguiririca,1917 CE,-34.814,-70.352,4280
357040,Planchon-Peteroa,2019 CE,-35.223,-70.568,3977
357041,Infiernillo,6890 BCE,-35.123,-69.9,3007
357042,Calabozos,Unknown,-35.558,-70.496,3508
357050,Descabezado Grande,1933 CE,-35.58,-70.75,3953
357060,Azul Cerro,1967 CE,-35.653,-70.761,3788
357061,Maule Laguna del,50 BCE,-36.058,-70.492,2162
357062,San Pedro-Pellado,Unknown,-35.989,-70.849,3621
357063,Longavi Nevado de,4890 BCE,-36.1959,-71.1641,3175
357064,Blancas Lomas,Unknown,-36.286,-71.009,2268
357065,Resago Volcan,Unknown,-36.4606,-70.9033,1890
357066,Payun Matru,5050 BCE,-36.422,-69.241,3715
357070,Chillan Nevados de,2022 CE,-36.868,-71.378,3180
357072,Tromen Volcanic Plateau,1822 CE,-37.144,-70.033,4114
357080,Antuco,1869 CE,-37.406,-71.349,2979
357090,Copahue,2021 CE,-37.856,-71.183,2953
357091,Callaqui,1980 CE,-37.92,-71.45,3164
357093,Tolhuaca,4000 BCE,-38.31,-71.645,2739
357100,Lonquimay,1990 CE,-38.379,-71.586,2832
357102,Blanca Laguna,Unknown,-39.02,-70.37,1700
357110,Llaima,2009 CE,-38.692,-71.729,3125
357111,Sollipulli,1240 CE,-38.97,-71.52,2282
357112,Caburgua-Huelemolle,5050 BCE,-39.25,-71.75,1652
357120,Villarrica,2024 CE,-39.42,-71.93,2847
357121,Quetrupillan,255 CE,-39.496,-71.722,2360
357122,Lanin,560 CE,-39.637,-71.502,3776
357123,Huanquihue Group,1750 CE,-39.887,-71.58,2189
357130,Mocho-Choshuenco,1937 CE,-39.927,-72.027,2422
357140,Carran-Los Venados,1979 CE,-40.35,-72.07,1114
357150,Puyehue-Cordon Caulle,2012 CE,-40.59,-72.117,2236
357153,Antillanca Volcanic Complex,230 BCE,-40.783,-72.15,1979
357160,Puntiagudo-Cordon Cenizos,1850 CE,-40.969,-72.264,2493
358010,Osorno,1869 CE,-41.105,-72.496,2659
358011,Tronador,Unknown,-41.157,-71.885,3478
358012,Cayutue-La Vigueria,190 BCE,-41.3,-72.27,506
358020,Calbuco,2015 CE,-41.33,-72.618,1974
358022,Yate,1090 CE,-41.755,-72.396,2187
358023,Hornopiren,340 CE,-41.874,-72.431,1572
358024,Apagado,590 BCE,-41.88,-72.58,1210
358025,Crater Basalt Volcanic Field,Unknown,-42.018,-70.194,1344
358030,Huequi,1920 CE,-42.377,-72.578,1318
358040,Michinmahuida,1835 CE,-42.799,-72.445,2452
358041,Chaiten,2011 CE,-42.8349,-72.6514,1122
358049,Yanteles,6650 BCE,-43.469,-72.782,1790
358050,Corcovado,4920 BCE,-43.189,-72.794,1826
358052,Melimoyu,200 CE,-44.08,-72.88,2400
358053,Puyuhuapi,Unknown,-44.3,-72.53,524
358054,Mentolat,1710 CE,-44.7,-73.08,1660
358055,Cay,Unknown,-45.059,-72.984,2090
358056,Maca,1560 CE,-45.1,-73.17,2960
358057,Hudson Cerro,2011 CE,-45.9,-72.97,1905
358060,Lautaro,1979 CE,-49.019,-73.504,3542
358062,Aguilera,1253 BCE,-50.33,-73.75,2546
358063,Reclus,1908 CE,-50.9395,-73.5802,1403
358064,Meullin,Unknown,-45.22,-73.05,1080
358070,Burney Monte,1910 CE,-52.33,-73.4,1758
358080,Pali-Aike Volcanic Field,5550 BCE,-52.082,-69.698,282
358090,Fueguino,1820 CE,-54.97,-70.262,157
360010,Saba,1640 CE,17.63,-63.23,887
360020,Quill The,250 CE,17.478,-62.96,601
360030,Liamuiga,160 CE,17.37,-62.8,1156
360040,Nevis Peak,Unknown,17.15,-62.58,985
360050,Soufriere Hills,2013 CE,16.72,-62.18,915
360060,Soufriere Guadeloupe,1977 CE,16.044,-61.664,1467
360080,Diables Morne aux,Unknown,15.612,-61.43,861
360090,Diablotins Morne,Unknown,15.503,-61.397,1430
360100,Trois Pitons Morne,920 CE,15.37,-61.33,1387
360101,Watt Morne,1997 CE,15.307,-61.305,1224
360110,Plat Pays Morne,1270 CE,15.255,-61.341,940
360120,Pelee,1932 CE,14.809,-61.166,1372
360140,Qualibou,1766 CE,13.83,-61.05,777
360150,Soufriere St. Vincent,2021 CE,13.33,-61.18,1220
360160,Kick 'em Jenny,2017 CE,12.3,-61.64,-185
360170,St. Catherine,Unknown,12.15,-61.67,840
370010,Snaefellsjokull,200 CE,64.8,-23.783,1446
370020,Helgrindur,Unknown,64.866,-23.283,986
370030,Ljosufjoll,960 CE,64.9,-22.483,1063
371020,Reykjanes,2024 CE,63.817,-22.717,140
371022,Eldey,1926 CE,63.733,-23,70
371030,Krysuvik-Trolladyngja,1340 CE,63.917,-22.067,360
371032,Fagradalsfjall,2023 CE,63.895,-22.258,250
371040,Brennisteinsfjoll,1341 CE,63.933,-21.783,610
371050,Hengill,150 CE,64.083,-21.416,803
371051,Hromundartindur,Unknown,64.083,-21.333,550
371060,Grimsnes,3500 BCE,64.05,-20.883,200
371070,Prestahnukur,3350 BCE,64.583,-20.666,1385
371080,Oddnyjarhnjukur-Langjokull,950 CE,64.85,-19.7,1100
371090,Hofsjokull,Unknown,64.833,-18.766,1765
372010,Vestmannaeyjar,1973 CE,63.416,-20.266,283
372020,Eyjafjallajokull,2010 CE,63.633,-19.633,1651
372030,Katla,1918 CE,63.633,-19.083,1490
372040,Tindfjallajokull,Unknown,63.783,-19.716,1464
372050,Torfajokull,1477 CE,63.892,-19.122,1280
372070,Hekla,2000 CE,63.983,-19.666,1490
373010,Grimsvotn,2011 CE,64.416,-17.316,1719
373012,Thordarhyrna,1904 CE,64.267,-17.617,1650
373030,Bardarbunga,2015 CE,64.633,-17.516,2000
373040,Tungnafellsjokull,Unknown,64.75,-17.916,1523
373050,Kverkfjoll,1968 CE,64.653,-16.647,1930
373060,Askja,1961 CE,65.033,-16.783,1080
373070,Fremrinamar,1200 BCE,65.416,-16.666,970
373080,Krafla,1984 CE,65.715,-16.728,800
373082,Heidarspordar,300 BCE,65.583,-16.817,490
373090,Theistareykir,900 BCE,65.883,-16.967,563
373100,Tjornes Fracture Zone,1868 CE,66.309,-17.118,-75
374010,Oraefajokull,1728 CE,64,-16.65,2010
374020,Esjufjoll,Unknown,64.25,-16.583,1620
374801,Snaefell,Unknown,64.798,-15.56,1833
375010,Kolbeinsey Ridge,1755 CE,66.67,-18.5,5
376010,Jan Mayen,1985 CE,71.082,-8.155,2197
377020,East Gakkel Ridge at 85°E,1999 CE,85.608,85.25,-3800
381040,Pico Fracture Zone,1865 CE,38.75,-38.08,-4200
382001,Flores,950 BCE,39.462,-31.216,914
382010,Fayal,1958 CE,38.576,-28.713,1041
382020,Pico,1720 CE,38.47,-28.4,2351
382030,Sao Jorge,1902 CE,38.65,-28.08,1053
382040,Graciosa,1950 BCE,39.02,-27.97,402
382050,Terceira,2000 CE,38.73,-27.32,1023
382070,Don Joao de Castro Bank,1720 CE,38.23,-26.63,-13
382080,Sete Cidades,1880 CE,37.865,-25.785,842
382081,Picos Fissural Volcanic System,1652 CE,37.78,-25.67,350
382090,Agua de Pau,1564 CE,37.77,-25.47,947
382100,Furnas,1630 CE,37.77,-25.32,805
382110,Monaco Bank,1911 CE,37.6,-25.88,-197
382120,Madeira,4500 BCE,32.73,-16.97,1862
383010,La Palma,2021 CE,28.57,-17.83,2426
383020,Hierro,2012 CE,27.73,-18.03,1500
383030,Tenerife,1909 CE,28.271,-16.641,3715
383040,Gran Canaria,40 CE,28,-15.58,1950
383050,Fuerteventura,Unknown,28.358,-14.02,529
383060,Lanzarote,1824 CE,29.03,-13.63,670
