YearMonthDay	HrMinSec	Latitude	Latitude Error	Longitude	Longitude Error	Depth	Depth Error	Magnitude
20161212	20:50:53	7.4194	0.504031	38.5584	0.690564	18.8965	1.13969	3.122477
20161228	18:38:05	7.38678	1.20597	38.5485	0.824692	12.8613	2.1706	2.74709
20161229	19:17:32	7.16059	0.582464	38.4413	0.807189	6.5918	0.735499	2.586148
20161229	19:54:01	7.15692	1.04731	38.4336	1.31702	7.44141	2.11068	2.506035
20161231	22:42:46	7.24266	0.274026	38.4724	0.235766	7.11914	0.60343	2.479655
20170101	23:43:59	7.18587	0.235405	38.4202	0.277412	1.78711	0.359278	2.322549
20170101	23:44:49	7.1864	0.132263	38.4223	0.148331	2.05078	0.433793	2.291504
20170108	01:26:58	7.39942	0.748159	38.5443	0.775136	17.6074	2.3864	2.400317
20170118	20:41:34	7.23316	1.08578	38.5005	0.568354	13.7402	1.96759	1.917641
20170122	20:31:52	7.09314	0.985163	38.5271	1.2463	8.23242	1.10595	2.28291
20170125	15:58:48	7.19485	0.141409	38.3914	0.175172	2.98828	0.200399	2.819072
20170129	20:57:44	7.20063	0.453749	38.4019	0.515569	3.60352	0.652908	2.378703
20170130	00:08:05	7.19852	0.355258	38.3977	0.47226	3.7793	0.26251	2.239745
20170210	23:52:04	7.22996	1.15042	38.5413	1.48307	10.9863	1.79017	2.535023
20170211	23:55:06	7.19955	0.30308	38.4273	0.612009	2.7832	0.236017	0.883077
20170220	01:57:24	7.18219	0.119495	38.4223	0.289577	2.87109	0.604775	2.213396
20170227	00:01:21	7.18797	0.986139	38.4287	0.810609	1.8457	1.99706	2.000403
20170323	18:50:13	7.18854	0.356849	38.3857	0.408247	1.23047	0.783399	1.446097
20170330	08:33:02	7.18271	0.212011	38.4258	0.1637	1.8457	0.312224	2.395907
20170414	00:08:15	7.19642	0.22374	38.4019	0.252766	1.9043	0.438102	1.01337
20170421	00:10:53	7.29783	0.422623	38.5576	0.312202	14.5898	1.12155	1.872352
20170425	21:05:29	7.20379	0.455105	38.3977	0.31491	1.31836	0.651314	0.719748
20170426	02:04:26	7.19905	0.219978	38.397	0.238234	2.40234	0.135461	1.180501
20170503	20:54:35	6.99847	0.467764	38.4637	0.257442	8.64258	0.548252	1.593206
20170507	23:51:56	7.19327	0.648338	38.3907	0.417349	3.7793	0.782826	1.695657
20170518	19:22:35	7.18856	1.31006	38.3548	0.866031	1.81641	0.895396	1.233237
20170603	11:20:23	7.19954	1.29656	38.4343	0.93427	5.53711	1.84868	2.672988
20170618	20:52:34	7.18907	0.462158	38.3808	0.262176	2.7832	0.627463	1.658893
20170619	19:04:23	7.18482	0.330025	38.4174	0.479262	2.60742	0.577464	1.268303
20170621	21:36:02	7.15274	0.269304	38.3998	0.175462	9.08203	0.331855	1.477459
20170629	05:17:43	7.18849	0.301097	38.4392	0.707535	2.40234	0.316062	1.663416
20170701	17:51:19	7.44889	0.407369	38.5402	0.894258	22.1191	1.29481	2.379258
20170701	23:33:18	7.22634	0.302414	38.4759	0.442948	14.4727	0.291827	1.298226
20170702	19:40:31	7.17851	0.541345	38.4188	0.600638	16.7285	0.630064	1.432949
20170708	00:48:43	7.17793	0.711779	38.4702	1.09719	0.292969	1.66893	1.460192
20170708	01:52:27	7.19004	0.159088	38.461	0.117309	5.5957	0.246963	1.546555
20170711	23:29:34	7.00108	1.34027	38.4897	0.62911	5.33203	2.04057	1.427059
20170716	22:30:59	7.29165	0.808321	38.4281	0.826639	7.32422	0.339242	1.657921
20170721	19:46:08	7.19432	0.637076	38.3878	0.345994	3.42773	0.544607	2.338951
20170721	20:13:08	7.18906	0.208647	38.3822	0.253541	2.95898	0.212086	1.652284
20170721	20:47:35	7.1838	0.739673	38.3794	0.657375	1.49414	1.2422	1.239306
20170731	23:01:17	7.208	0.797752	38.3963	0.912696	2.43164	0.775265	1.034633
20170803	23:18:20	7.1859	0.293006	38.3907	0.3186	4.07227	0.656393	1.364445
20170809	03:36:55	7.43949	5.00764	38.4796	1.07884	9.05273	5.87625	2.143463
20170830	22:50:59	7.20376	0.0960921	38.4329	0.0694219	2.49023	0.109897	1.412554
20170902	20:13:40	7.19008	0.376866	38.423	0.417623	2.54883	0.703204	1.0416
20170905	02:50:55	7.19327	0.345342	38.3921	0.225817	3.19336	0.486286	1.567702
20170912	21:46:11	7.19432	0.289216	38.3935	0.504107	3.42773	0.503287	1.211208
20170919	01:32:43	7.18006	0.246806	38.4448	0.145049	5.68359	0.319427	1.221953
20170919	01:34:11	7.19637	0.750207	38.4484	0.611955	6.70898	1.73173	1.966282
20170919	01:41:09	7.18268	1.34164	38.4596	0.625779	3.48633	0.891875	1.286699
20170925	21:36:43	7.05952	0.727384	38.4693	1.28787	10.9277	1.09346	1.38077
